English	Spanish
Nothing is more important than empathy.	Nada es más importante que la empatía.
If you allow me to speak, I'll be able to explain everything.	Si me dejas hablar, podré explicar todo.
Christmas is approaching.	La Navidad se acerca.
Your purse is open.	Tu cartera está abierta.
The teacher explained to us the meaning of the poem.	El profesor nos explicó el significado del poema.
The drug problem is international.	El problema de la droga es internacional.
Why are you always whining?	¿Por qué siempre te estás quejando?
When was the castle built?	¿Cuándo fue construido el castillo?
Bring Tom with you.	Trae a Tom contigo.
You made a wise choice.	Has hecho una sabia elección.
Do you really want to go to Germany?	¿De verdad quieres ir a Alemania?
Someone coughed.	Alguien tosió.
Let's get a cab.	Tomemos un taxi.
Tom said he's feeling fine.	Tom dijo que se está sintiendo bien.
He pressed his ear against the wall.	Él puso su oído contra la pared.
Don't go so fast!	¡No vaya tan ligero!
Can you stop calling me that?	¿Puedes parar de llamarme así?
Please cut the cake with a knife.	Corta la tarta con un cuchillo, por favor.
Tom needs a favor.	Tom necesita una gauchada.
He might not be happy.	Él puede que no sea feliz.
There's nothing we can do to save Tom.	No hay nada que podamos hacer para salvar a Tom.
Please answer all the questions.	Por favor, responde todas las preguntas.
That tailor always uses very good material.	Ese sastre usa siempre muy buenos géneros.
Why don't you ever cook?	¿Por qué nunca cocinas?
How old are your kids?	¿Cuántos años tienen tus hijos?
I have a friend who feeds his dog strawberries.	Yo tengo un amigo que le da de comer frutillas a su perro.
School is out.	Se acabaron las clases.
You'd be amazed how many times I've told Tom not to do that.	Te sorprendería saber todas las veces que le he dicho ha Tom que no haga eso.
They've made up their minds not to come.	Han tomado la decisión de no venir.
It looks like an apple.	Parece una manzana.
Let's eat before we go.	Comamos antes de ir.
Maybe it's too late.	Quizás sea demasiado tarde.
You've given me your cold.	Me has pegado tu resfriado.
It will be very expensive.	Será muy caro.
We will take a rest soon.	Pronto descansaremos.
The police caught Tom red-handed, breaking into a house in our neighborhood.	La policía atrapó a Tom in fraganti irrumpiendo en una casa de nuestro vecindario.
I hope we'll be home for Christmas.	Espero que estemos en casa para Navidad.
Tom seems like an idiot.	Tom parece un idiota.
Who do you stay with?	¿Con quién te quedarás?
Tom felt a pain in his side.	Tom sintió un dolor en su costado.
Would you come with me, please?	¿Vendrías conmigo?
I have more work to do.	Tengo más trabajo por hacer.
I can't imagine living like that.	No puedo imaginarme viviendo así.
Cows are sacred to Hindus.	Las vacas son sagradas para los hindúes.
Am I not right?	¿No tengo razón?
In those days, few people could travel abroad.	En aquellos días, poca gente podía viajar al extranjero.
She could not cope with anxiety.	Ella no pudo hacer frente a la ansiedad.
He's very angry.	Está realmente enfadado.
As soon as the child saw his mother, he stopped crying.	En cuanto el niño vio a su madre, dejó de llorar.
Would you hand me the suitcase, please?	¿Me pasarías la maleta, por favor?
It was really neat.	Estuvo bastante bien.
The sea gulls are flying low.	Las gaviotas están volando bajo.
But don't you think that it's a little big? asked the shopkeeper.	-¿Pero no piensa que es un poco grande? -preguntó la dependienta.
Stop wasting time and get back to work.	Para de perder el tiempo y vuelve al trabajo.
I want to emphasize this point in particular.	Quiero hacer hincapié en este punto en particular.
Who's in charge?	¿Quién está al mando?
I'm not sure what my children want for Christmas.	No estoy seguro de qué quieren mis niños para Navidad.
How many wives have you had?	¿Cuántas esposas has tenido?
Tom handed a note to Mary.	Tom le entregó una nota a Mary.
Would you be willing to share your code with me?	¿Estarías dispuesto a compartir tu código conmigo?
It is said that there is a treasure buried around here.	Se dice que hay un tesoro enterrado por aquí.
Why don't you go find Tom?	¿Por qué no vas a buscar a Tom?
You have many friends.	Tienes un montón de amigos.
Tom revealed the secret.	Tomás reveló el secreto.
They're both good.	Ambas están bien.
These are two nice pictures.	Estas son dos lindas fotos.
I should be there on Monday.	Debería estar allí el lunes.
You're winning.	Están ganando.
Who are you talking with?	¿Con quién estás hablando?
How long have you been standing here?	¿Cuánto llevas parado aquí?
Hold on a second.	Aguantá un segundo.
Tom isn't contributing, is he?	Tom no está aportando, ¿verdad?
Let's play some cards.	Vamos a jugar a las cartas.
Let's begin on page 30.	Empecemos en la página 30.
I saw Tom last night.	Anoche vi a Tom.
Is there anyone here who disagrees?	¿Alguien aquí no está de acuerdo?
That sounds beautiful.	Eso suena hermoso.
Is Mary Tom's mother?	¿Mary es la madre de Tom?
Just hang in there.	Espera un segundo.
I arrived at the station.	Llegué a la estación.
People rose in revolt against the King.	Le gente se alzó contra el rey.
He's stronger than you.	Él es más fuerte que tú.
I think it's time for me to step aside.	Creo que es hora de que me haga a un lado.
All of us like her.	Ella nos gusta a todos.
I don't want to think about what could have happened.	No quiero pensar en lo que podría haber pasado.
The park is located in the center of the city.	El parque se encuentra en el centro de la ciudad.
I have nothing in common with her.	No tengo nada en común con ella.
There's something I need to tell you before you leave.	Hay algo que te necesito decir antes de que te vayas.
Raise your hands.	Levante sus manos.
He doesn't go to the office on Saturday.	No va a la oficina el sábado.
The dog barked at the mailman.	El perro ladró al cartero.
It was a nice day so we went fishing.	Era un buen día así que fuimos a pescar.
Sometimes I wonder if I shouldn't have become a lawyer.	A veces me pregunto si no debí haberme convertido en abogado.
I need to know that Tom will be safe.	Necesito saber que Tom estará a salvo.
Ask anyone.	Pregúntale a cualquiera.
Do you want to help?	¿Querés ayudar?
The children are growing tired.	Los niños se están cansando.
Everybody was anxious to know what had happened.	Todos estaban impacientes por saber qué había ocurrido.
He's getting used to the situation.	Él se está acostumbrando a la situación.
I love playing Chopin.	Me encanta interpretar a Chopin.
What makes us human?	¿Qué nos hace humanos?
Try to be on time.	Trata de ser puntual.
This is the captain.	Este es el capitán.
If you are by my side, I don't need anything else.	Si estás a mi lado no necesito nada más.
Leave Tom to me.	Déjame a Tom.
I have a pain in my back.	Tengo dolor de espalda.
I've been searching for my puppy for weeks.	He estado buscando a mi cachorrito por semanas.
You've become old and stubborn.	Te has vuelto viejo y terco.
She is not young.	Ella no es joven.
I will go to New York next week.	Voy a ir a New York la semana que viene.
Maybe it won't rain tomorrow.	A lo mejor mañana no llueve.
I gave you my word.	Le di mi palabra.
She introduced her sister to him.	Ella le presentó a su hermana.
How could we have been so stupid?	¿Cómo pudimos ser tan estúpidos?
He is respected by his friends.	Él es respetado por sus amigos.
Your dog is here.	Aquí está tu perro.
Don't forget your promise.	No olvides tu promesa.
My name's Tom.	Me llamo Tom.
Good students study hard.	Los buenos estudiantes estudian mucho.
He didn't give me much advice.	Él no me dio muchos consejos.
I saw a UFO.	Yo vi un OVNI.
It took a long time, but in the end I was able to convince him.	Me tomó bastante tiempo, pero finalmente logré convencerlo.
Do you know his name?	¿Conoces su nombre?
Automobile sales suffered a setback at the end of the financial year.	Las ventas de automóviles sufrieron un revés al final del año fiscal.
It's a very sad story.	Es una historia muy triste.
I can't hear anything at all.	No puedo oír absolutamente nada.
It's not the end of the world.	El mundo no se hundirá por eso.
I'd hate to be in your shoes.	Odiaría estar en tu lugar.
Tom asked Mary whether she planned to swim or not.	Tom le preguntó a Mary si pensaba ir a nadar.
He took part in the Olympic Games.	Él participó en las olimpiadas.
You are not Japanese.	Tú no eres japonés.
You know something, don't you?	Tú sabes algo, ¿verdad?
It's getting louder.	Se está poniendo más ruidoso.
Please come home sometimes.	Por favor, ven a casa a veces.
It takes two to tango.	Es cosa de dos.
Take the first street to the right.	Agarrá la primera calle a la derecha.
His parents were furious.	Sus padres estaban furiosos.
Can I see Tom a moment?	¿Puedo ver a Tom un momento?
May I watch TV now?	¿Ya puedo ver la televisión?
Thank you.	Gracias a ti.
Everybody knows that Tom did it.	Todos saben que Tom lo hizo.
People should be honest with one another.	Las personas deberían ser honestas las unas con las otras.
Tom denied that he was the thief.	Tom negó que él fuera el ladrón.
I don't actually work here.	Yo de hecho no trabajo aquí.
Try this on for size.	Pruébese este a ver si le queda bien.
Tom opened the door to his office.	Tom abrió la puerta de su oficina.
This story cannot be true.	Ese relato no puede ser verdad.
I may not know a lot, but I do know that Tom doesn't know what he's talking about.	Puede que no sepa mucho, pero sí sé que Tom no sabe de lo que está hablando.
How's the weather?	¿Cómo está el tiempo?
We saw you.	Te vimos.
I'm going to park the car.	Voy a estacionar el auto.
I feel a bit feverish tonight.	Esta noche siento algo de fiebre.
These days I'm very busy.	Estoy muy ocupada estos días.
Look at this picture.	Mira esta pintura.
It is difficult for foreigners to get used to Japanese food.	A los extranjeros les cuesta acostumbrarse a la comida japonesa.
It seemed to me that there was no way out of our difficulty.	Me parecía que no había salida a nuestro predicamento.
Have I called you at a bad time?	¿Te he llamado en mal momento?
What's the temperature going to be tomorrow?	¿Qué temperatura hará mañana?
This gun is reportedly very powerful.	Según consta, esta arma es muy poderosa.
Tom was born and raised in Ohio.	Tom nació y creció en Ohio.
I was very hungry.	Tenía mucha hambre.
Tom always wants to argue.	Tom siempre quiere discutir.
They waited in line for the bus.	Ellos esperaron en fila el bus.
Tom gave thanks to God.	Tomás le agradeció a Dios.
It seemed that her family had moved to Hokkaido.	Parecía que su familia se había mudado a Hokkaido.
We are very similar.	Nosotros somos muy similares.
I saw Tom naked.	Vi a Tomás desnudo.
You were lucky.	La sacaste barata.
